bandwidth,optimizer,energy,device,payload
2000,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2100,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2200,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2300,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2400,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2500,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2600,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2700,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2800,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2900,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
3000,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
3100,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
3200,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
3300,9.221663590657428,0,2,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
